date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-12-22,10℃,3℃,阴~多云,北风,3-4级,116,轻度污染,3
2016-12-23,10℃,3℃,多云~阴,西北风,3-4级,162,中度污染,4
2016-12-24,9℃,7℃,阴,东风,3-4级,83,良,2
2016-12-25,12℃,8℃,小雨,东风,3-4级,40,优,1
2016-12-26,10℃,3℃,小雨,西北风,3-4级,40,优,1
2016-12-27,7℃,-2℃,晴,北风,3-4级,56,良,2
2016-12-28,7℃,0℃,多云,东北风,3-4级,69,良,2
2016-12-29,7℃,-1℃,晴,东北风,3-4级,115,轻度污染,3
2016-12-30,10℃,2℃,多云,东南风,3-4级,113,轻度污染,3
2016-12-31,13℃,5℃,晴,东南风,1-2级,136,轻度污染,3
2017-01-01,15℃,7℃,多云,东南风,1-2级,124,轻度污染,3
2017-01-02,15℃,5℃,多云,东北风,3-4级,140,轻度污染,3
2017-01-03,14℃,7℃,多云~阴,东风,1-2级,196,中度污染,4
2017-01-04,14℃,9℃,小雨~中雨,东风,1-2级,150,轻度污染,3
2017-01-05,11℃,9℃,中雨~小雨,东风,3-4级,57,良,2
2017-01-06,12℃,10℃,小雨~中雨,东风,1-2级,55,良,2
2017-01-07,12℃,7℃,小雨,西北风,3-4级,37,优,1
2017-01-08,9℃,3℃,多云,西北风,3-4级,106,轻度污染,3
2017-01-09,8℃,2℃,多云,北风,3-4级,117,轻度污染,3
2017-01-10,8℃,4℃,多云~阴,东北风,1-2级,135,轻度污染,3
2017-01-11,8℃,4℃,小雨,东北风,1-2级,81,良,2
2017-01-12,8℃,2℃,小雨~多云,西风,3-4级,86,良,2
2017-01-13,10℃,0℃,晴,西北风,3-4级,113,轻度污染,3
2017-01-14,7℃,0℃,多云,北风,3-4级,79,良,2
2017-01-15,7℃,0℃,多云,东北风,3-4级,42,优,1
2017-01-16,8℃,2℃,多云~阴,东北风,1-2级,53,良,2
2017-01-17,10℃,5℃,阴~小雨,东风,1-2级,73,良,2
