date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-10-14,24℃,14℃,霾,无持续风向,微风,282,重度污染,5
2016-10-15,17℃,13℃,小雨,无持续风向,微风,227,重度污染,5
2016-10-16,21℃,12℃,霾~晴,无持续风向,微风,167,中度污染,4
2016-10-17,21℃,9℃,晴,无持续风向,微风,89,良,2
2016-10-18,22℃,11℃,晴~霾,无持续风向,微风,154,中度污染,4
2016-10-19,22℃,14℃,霾~小雨,无持续风向,微风,279,重度污染,5
2016-10-20,16℃,11℃,小雨,无持续风向,微风,118,轻度污染,3
2016-10-21,13℃,11℃,小雨~阴,无持续风向,微风,64,良,2
2016-10-22,14℃,7℃,多云,无持续风向,微风,26,优,1
2016-10-23,16℃,5℃,晴,无持续风向,微风,47,优,1
2016-10-24,14℃,6℃,多云~霾,无持续风向,微风,93,良,2
2016-10-25,18℃,10℃,霾,无持续风向,微风,145,轻度污染,3
2016-10-26,15℃,10℃,阴,无持续风向,微风,86,良,2
2016-10-27,11℃,7℃,小雨,无持续风向,微风,51,良,2
2016-10-28,13℃,2℃,晴,北风,4-5级,22,优,1
2016-10-29,11℃,3℃,多云~阴,无持续风向,微风,39,优,1
2016-10-30,13℃,2℃,阴~多云,北风,3-4级,70,良,2
2016-10-31,7℃,-4℃,晴,北风,3-4级,18,优,1
2016-11-01,8℃,-2℃,多云~晴,无持续风向,微风,64,良,2
2016-11-02,13℃,1℃,晴,无持续风向,微风,154,中度污染,4
2016-11-03,15℃,2℃,霾,无持续风向,微风,249,重度污染,5
2016-11-04,16℃,5℃,霾,无持续风向,微风,293,重度污染,5
2016-11-05,18℃,2℃,多云,无持续风向,微风,248,重度污染,5
2016-11-06,9℃,3℃,霾~小雨,无持续风向,微风,98,良,2
2016-11-07,12℃,2℃,多云~晴,北风,4-5级,67,良,2
2016-11-08,11℃,-1℃,晴,无持续风向,微风,54,良,2
2016-11-09,10℃,2℃,多云~霾,无持续风向,微风,201,重度污染,5
2016-11-10,9℃,0℃,霾~多云,无持续风向,微风,208,重度污染,5
2016-11-11,12℃,1℃,多云~晴,无持续风向,微风,134,轻度污染,3
2016-11-12,13℃,2℃,晴~霾,无持续风向,微风,98,良,2
