date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-11-17,15℃,7℃,多云~阴,东南风,3-4级,70,良,2
2016-11-18,15℃,10℃,多云~小雨,东南风,3-4级,83,良,2
2016-11-19,14℃,5℃,多云,西北风,4-5级,56,良,2
2016-11-20,9℃,4℃,多云,东北风,5-6级,43,优,1
2016-11-21,9℃,-2℃,阴~雨夹雪,东北风,6-7级,34,优,1
2016-11-22,2℃,-2℃,小雪~阵雪,北风,6-7级,31,优,1
2016-11-23,4℃,0℃,阵雪~多云,西北风,4-5级,33,优,1
2016-11-24,6℃,0℃,多云~晴,西北风,3-4级,54,良,2
2016-11-25,8℃,2℃,多云,西风,3-4级,87,良,2
2016-11-26,9℃,2℃,多云,西北风,4-5级,91,良,2
2016-11-27,9℃,1℃,多云~晴,西北风,5-6级,134,轻度污染,3
2016-11-28,8℃,2℃,晴,西北风,3-4级,48,优,1
2016-11-29,8℃,4℃,晴~多云,西北风,3-4级,75,良,2
2016-11-30,11℃,3℃,小雨~多云,西南风,4-5级,109,轻度污染,3
2016-12-01,8℃,0℃,晴,西北风,3-4级,80,良,2
2016-12-02,11℃,3℃,晴~多云,西南风,3-4级,66,良,2
2016-12-03,13℃,7℃,多云,西南风,4-5级,152,中度污染,4
2016-12-04,12℃,3℃,多云~阴,西南风,4-5级,122,轻度污染,3
2016-12-05,4℃,-1℃,阴~多云,北风,5-6级,75,良,2
2016-12-06,9℃,2℃,晴,西南风,5-6级,53,良,2
2016-12-07,9℃,1℃,晴,西南风,3-4级,94,良,2
2016-12-08,11℃,1℃,多云~阴,西南风,4-5级,100,良,2
2016-12-09,6℃,0℃,多云,北风,4-5级,35,优,1
2016-12-10,5℃,-1℃,晴,北风,3-4级,50,优,1
2016-12-11,8℃,0℃,晴~多云,南风,3-4级,73,良,2
2016-12-12,8℃,1℃,小雨,南风,3-4级,70,良,2
2016-12-13,3℃,-2℃,多云,北风,6-7级,45,优,1
2016-12-14,6℃,-2℃,多云,北风,6-7级,33,优,1
2016-12-15,2℃,-3℃,阵雪~多云,北风,6-7级,34,优,1
2016-12-16,6℃,0℃,晴,西北风,4-5级,59,良,2
2016-12-17,10℃,2℃,晴,西南风,4-5级,118,轻度污染,3
2016-12-18,11℃,1℃,晴~多云,西南风,4-5级,176,中度污染,4
2016-12-19,10℃,2℃,多云~晴,北风,3-4级,235,重度污染,5
2016-12-20,8℃,3℃,多云~阴,东北风,3-4级,191,中度污染,4
2016-12-21,7℃,2℃,小到中雨~雨夹雪,东风,3-4级,142,轻度污染,3
2016-12-22,1℃,-1℃,雨夹雪~多云,西北风,6-7级,63,良,2
2016-12-23,1℃,-2℃,小雪~多云,北风,3-4级,32,优,1
2016-12-24,4℃,-3℃,多云,北风,3-4级,45,优,1
2016-12-25,6℃,0℃,阴~小雨,东南风,3-4级,67,良,2
2016-12-26,4℃,-3℃,阵雪~多云,东北风,4-5级,66,良,2
2016-12-27,0℃,-5℃,多云,北风,5-6级,31,优,1
2016-12-28,3℃,-4℃,多云,西南风,3-4级,66,良,2
2016-12-29,3℃,-4℃,多云~晴,西北风,4-5级,66,良,2
2016-12-30,4℃,-3℃,多云,西南风,3-4级,93,良,2
2016-12-31,8℃,-1℃,多云~晴,西南风,3-4级,166,中度污染,4
2017-01-01,9℃,1℃,多云,西南风,3-4级,215,重度污染,5
2017-01-02,8℃,-2℃,晴,西北风,3-4级,217,重度污染,5
2017-01-03,10℃,1℃,晴~多云,西南风,3-4级,168,中度污染,4
2017-01-04,7℃,2℃,多云~晴,东北风,3-4级,168,中度污染,4
2017-01-05,8℃,0℃,多云,东北风,3-4级,44,优,1
2017-01-06,8℃,2℃,多云~小雨,东北风,3-4级,70,良,2
2017-01-07,6℃,1℃,小雨,东北风,3-4级,76,良,2
